farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
CHM,alt gdn,TotalAdultQueens,March,246.965,227.6915214,522.9,NA,NA,NA,NA,0.793688691,0.206311309,217.4466667,70.63,0.204514232
CHM,gdn pasture,TotalAdultQueens,March,222.9175,198.0952582,505.5,NA,NA,NA,NA,0.789382263,0.210617737,194.8666667,67.03,0.198366084
CW,gdn,TotalAdultQueens,March,251.3875,228.3338151,522.2,NA,NA,NA,NA,0.788536254,0.211463746,196.2958333,74.24,0.213255698
CW,no gdn,TotalAdultQueens,March,210.8825,186.5845962,506.8,NA,NA,NA,NA,0.784496793,0.215503207,179.7233333,62.07,0.217682045
CW,alt gdn,TotalAdultQueens,March,191.6383333,158.0908248,501.25,NA,NA,NA,NA,0.791954425,0.208045575,144.2941667,54.65,0.206798644
CW,gdn pasture,TotalAdultQueens,March,214.4108333,184.9557111,507.55,NA,NA,NA,NA,0.804739435,0.195260565,182.0875,55.83,0.198644565
EM,gdn,TotalAdultQueens,March,308.68,293.3086528,577.75,NA,NA,NA,NA,0.764327249,0.235672751,230.2275,102.54,0.235672751
EM,no gdn,TotalAdultQueens,March,208.46,178.040988,500,NA,NA,NA,NA,0.785555793,0.214444207,175.2,58.75,0.196027737
EM,alt gdn,TotalAdultQueens,March,233.4875,206.0037021,530.7,NA,NA,NA,NA,0.781386246,0.218613754,200.8758333,69.3,0.215876617
EM,gdn pasture,TotalAdultQueens,March,224.4141667,200.9060289,519.85,NA,NA,NA,NA,0.791652341,0.208347659,190.0825,66.94,0.208300934
ET,gdn,TotalAdultQueens,March,335.15,338.5365126,606.5,NA,NA,NA,NA,0.777355972,0.222644028,280.175,105.66,0.223034514
ET,no gdn,TotalAdultQueens,March,238.7275,213.8730458,518.6,NA,NA,NA,NA,0.79632957,0.20367043,199.6341667,69.22,0.197683934
ET,alt gdn,TotalAdultQueens,March,236.94,210.8213592,515.95,NA,NA,NA,NA,0.787050499,0.212949501,195.5733333,71,0.21274116
ET,gdn pasture,TotalAdultQueens,March,236.605,215.8766454,509.05,NA,NA,NA,NA,0.793590722,0.206409278,211.0341667,70.53,0.210652978
LH,gdn,TotalAdultQueens,March,327.46,325.7422553,599.95,NA,NA,NA,NA,0.76826206,0.23173794,275.13,107.72,0.23173794
LH,no gdn,TotalAdultQueens,March,214.8716667,190.6938504,501.3,NA,NA,NA,NA,0.796678409,0.203321591,177.8983333,62.86,0.203550992
LH,alt gdn,TotalAdultQueens,March,244.78,223.8228223,531.2,NA,NA,NA,NA,0.792150377,0.207849623,214.67,74.65,0.204898631
LH,gdn pasture,TotalAdultQueens,March,247.2625,228.1056589,521.65,NA,NA,NA,NA,0.77224667,0.22775333,226.5183333,78.68,0.220699208
LM,gdn,TotalAdultQueens,March,235.7275,219.0455722,517.3,NA,NA,NA,NA,0.786470635,0.213529365,191.8858333,70.23,0.212826052
LM,no gdn,TotalAdultQueens,March,241.7525,215.6540101,518.65,NA,NA,NA,NA,0.791991428,0.208008572,203.1558333,67.78,0.20663782
LM,alt gdn,TotalAdultQueens,March,249.99,228.8464279,544.3,NA,NA,NA,NA,0.790895521,0.209104479,219.3816667,74.49,0.210057169
LM,gdn pasture,TotalAdultQueens,March,227.4466667,195.9052576,513,NA,NA,NA,NA,0.794715023,0.205284977,183.5216667,63.22,0.201094501
MN,gdn,TotalAdultQueens,March,310.95,300.139513,586.2,NA,NA,NA,NA,0.771464258,0.228535742,261.275,100.19,0.228535742
MN,no gdn,TotalAdultQueens,March,221.5516667,193.7420258,519.05,NA,NA,NA,NA,0.797097285,0.202902715,185.0833333,62.23,0.18857095
MN,alt gdn,TotalAdultQueens,March,218.5325,194.1104193,503.6,NA,NA,NA,NA,0.784322495,0.215677505,189.2441667,64.92,0.216986912
MN,gdn pasture,TotalAdultQueens,March,235.02,217.3583586,523.45,NA,NA,NA,NA,0.788344423,0.211655577,215.485,72.52,0.209334784
OB,gdn,TotalAdultQueens,March,240.9616667,220.7081535,521.2,NA,NA,NA,NA,0.774854866,0.225145134,168.0858333,74.75,0.225586904
OB,no gdn,TotalAdultQueens,March,180.4483333,143.9586571,500,NA,NA,NA,NA,0.804164543,0.195835457,128.5208333,48.45,0.194238532
OB,alt gdn,TotalAdultQueens,March,202.0233333,174.8022588,507.8,NA,NA,NA,NA,0.800989517,0.199010483,159.2091667,54.48,0.197502575
OB,gdn pasture,TotalAdultQueens,March,219.8991667,186.226507,511.05,NA,NA,NA,NA,0.788041262,0.211958738,166.27,57.3,0.22354285
PH,gdn,TotalAdultQueens,March,246.185,223.6606867,521.95,NA,NA,NA,NA,0.797208634,0.202791366,208.7325,73.96,0.201710475
PH,no gdn,TotalAdultQueens,March,257.3241667,236.0229548,534.95,NA,NA,NA,NA,0.785303023,0.214696977,229.0133333,76.83,0.212756208
PH,alt gdn,TotalAdultQueens,March,229.2925,205.7041402,514.7,NA,NA,NA,NA,0.800672519,0.199327481,199.9983333,65.07,0.19315404
PH,gdn pasture,TotalAdultQueens,March,258.99,236.7651669,544.35,NA,NA,NA,NA,0.798148923,0.201851077,232.8516667,78.37,0.208192351
B,gdn,TotalAdultWorkers,March,0.48,59.70361481,708.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalAdultWorkers,March,0,41.67879799,597.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalAdultWorkers,March,0,46.25116743,624,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalAdultWorkers,March,0,47.64716199,670.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalAdultWorkers,March,0,64.71402564,774.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalAdultWorkers,March,0,46.31737072,626.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
